date,temperature
2017-10-22,17.8
2017-10-23,13.8
2017-10-24,14.2
2017-10-25,15.2
2017-10-26,14.8
2017-10-27,15.6
2017-10-28,14.8
2017-10-29,13.7
2017-10-30,15.3
2017-10-31,15.8
2017-11-01,12.6
2017-11-02,13.3
2017-11-03,15.3
2017-11-04,14.6
2017-11-05,15.2
2017-11-06,12.7
2017-11-07,11.1
2017-11-08,10.7
2017-11-09,12.7
2017-11-10,13.1
2017-11-11,12.8
2017-11-12,12.8
2017-11-13,11.8
2017-11-14,8.5
2017-11-15,10.1
2017-11-16,10.1
2017-11-17,11.2
2017-11-18,9.7
2017-11-19,8.3
2017-11-20,8.6
2017-11-21,11.7
2017-11-22,12.8
2017-11-23,12.5
2017-11-24,12.9
2017-11-25,14.6
2017-11-26,11.7
2017-11-27,6.8
2017-11-28,5.8
2017-11-29,11.8
2017-11-30,9.9
2017-12-01,7.7
2017-12-02,8.7
2017-12-03,7.1
2017-12-04,6.2
2017-12-05,5.1
2017-12-06,5.8
2017-12-07,9.2
2017-12-08,11.9
2017-12-09,8.3
2017-12-10,5.3
2017-12-11,14.2
2017-12-12,14.9
2017-12-13,11.1
2017-12-14,11.9
2017-12-15,13.1
2017-12-16,9.1
2017-12-17,5
2017-12-18,4
2017-12-19,2.8
2017-12-20,2.3
2017-12-21,3.7
2017-12-22,6.7
2017-12-23,8.8
2017-12-24,7.3
2017-12-25,6.7
2017-12-26,10.3
2017-12-27,11
2017-12-28,7
2017-12-29,4.3
2017-12-30,6.8
2017-12-31,9.7
