day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper
0,0.9669796537919217,0.1396219232023267,3.3523763156862056,1.0,0.7044311848895798,0.6090718837149797,0.7994677237751893,1.3699891465080523,0.1966969869696729,4.809802906992881
1,1.0044070052774348,0.14369271362255168,3.3702093680369347,0.8002195281260416,0.7324680109847079,0.6380311855892556,0.8285844989107206,1.3684174030044975,0.1996260901808515,4.607485149398167
2,4.073837376574362,0.5480946201426562,14.680397028885139,0.9908137660671675,0.7656783694592204,0.6684858835823687,0.8644389231237118,5.327767839029362,0.7102961958624637,19.110974594949802
3,14.741363913696379,2.287819530485242,51.139979554796966,0.999939840582393,0.7987394143452534,0.7014506955740192,0.8967109219447894,18.405966907173656,2.8645296806693157,64.21084771021593
4,13.83773518148769,1.9821897520517338,46.78267877428044,0.999884907440104,0.8214761459473596,0.726035647799953,0.9169433342682919,16.818130124117392,2.4744159410104385,56.628843862896034
5,11.193902003061272,1.7710798997160786,34.27621699070037,0.9997826974302766,0.8438023303809359,0.7480645257395983,0.9376679383463048,13.278832319862097,2.154689556247397,40.860301052184475
6,8.365673037954135,1.481404434373573,25.06390227313971,0.9997545103982864,0.8644140339164549,0.7714058742639295,0.9624376949420363,9.71084797748399,1.6896915055913746,29.398856234891333
7,5.700886850830352,1.1848261884982088,15.301973450063699,0.9996511442124923,0.8832657540479258,0.7860778430271388,0.9783186228118066,6.473191599911244,1.3691823384313375,17.416950795323796
8,4.0029077050729205,0.8995466391874221,10.360225971080185,0.9990406829697932,0.9007928290348419,0.8033197078521305,0.9998307445261416,4.456842524633907,1.0056129295677223,11.561470470251964
9,2.7828108519505177,0.7080250438051148,6.848695839755043,0.9973661437173411,0.9169318616605444,0.8224498184690336,0.9999999989639868,3.041566018121804,0.767450066440845,7.604121240317831
10,2.6887711664001457,0.7841233445258919,6.024658326462898,0.9987298948585058,0.9314195469799023,0.8382611713893267,0.9999999999999999,2.893764483680435,0.8402238526123291,6.490514263370674
11,2.0069099429603123,0.6132368981598703,4.682570649120628,0.9960079459355622,0.9434139074986445,0.8509964468230881,1.0,2.13192890727267,0.6458863727347874,4.970283281436956
12,1.5678376115672754,0.5018945056069926,3.519367412519629,0.9885901317643664,0.9525715924441247,0.8603489918108753,1.0,1.6492817104309114,0.5210998088142558,3.688865727072903
13,1.3274911153024402,0.42441027420982114,3.0463652764635865,0.9759322482023088,0.9605015739870455,0.8715717108240865,1.0,1.3832284401006785,0.43956802721696,3.2065959473214294
14,1.144432180153121,0.35176114373494444,2.6671688471933748,0.951201808961146,0.9678123512127124,0.8809673302560505,1.0,1.1840463535002719,0.36771264890273825,2.7831186505434196
15,1.0030647614005164,0.32192464585874964,2.2851973521534044,0.9141537255189068,0.972166802670791,0.8868983390682722,1.0,1.0326623176605163,0.3323870259032066,2.3425349339782904
16,0.9081643877900261,0.27360110065016585,2.1490351304831963,0.861062665304285,0.9747613901615019,0.890572473032136,1.0,0.9333559458105143,0.27811428376479347,2.209115284228855
17,0.8579830474643312,0.25899666654717207,2.0216696670784216,0.8019738515696302,0.9784424953832096,0.8996889286714597,1.0,0.8778765315554585,0.2644508407973494,2.1034371793385818
18,0.7878337013725104,0.24507319540739703,1.8297546638749678,0.7235845936743541,0.9784398175184663,0.9003519229238501,1.0,0.8054249174551471,0.25030261873348125,1.8707011373470555
19,0.7540784948220375,0.230089896355572,1.7994865917547884,0.6422816150699275,0.9801674001232042,0.9043774597342948,1.0,0.7700910725317053,0.2348652281939186,1.8355283343472908
20,0.917485005935532,0.2751216070892414,2.1643979838714493,0.817645722324454,0.9807253396838114,0.9026217869957751,1.0,0.9366794346210705,0.27928994992034895,2.213616445514685
21,0.8813245930552899,0.24976296467165812,2.155409690469409,0.7705071586094308,0.9809831462619695,0.901376219828435,1.0,0.8990353357206987,0.2598417990299225,2.1865304184104537
22,0.8507312719305166,0.24328788101955526,2.100368834838062,0.7233418000104208,0.9806189975933184,0.9031773623503846,1.0,0.8685496969341223,0.2485565788081096,2.163509930235297
23,1.0612075299428405,0.3203949132277055,2.574846091266971,0.8729021311206332,0.980547217129822,0.9030030289788324,1.0,1.083085057882346,0.3264624683619518,2.66425864945253
24,1.0266774294291476,0.30348134039986724,2.4953316711433318,0.8537594444133997,0.9793217299251539,0.9014743309938464,1.0,1.0494200738702335,0.3054993749778675,2.560029710400011
