day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob
0,1.436448144779017,0.18997431165750134,5.082622000921771,1.0
1,1.4475318539928028,0.18313281058026118,5.2917164926695595,0.8144280283123324
2,5.263854081345218,0.7335940534310038,20.275266168739417,0.9928378122474204
3,18.38273829890676,2.706652695516338,65.97969036113544,0.9999490856127184
4,16.327752181109297,2.414662942896019,55.59383068934911,0.9999454055077719
5,12.859075653824691,2.215811513935247,40.27550710692096,0.999963767321183
6,9.183231726011764,1.7557246043472434,28.153226829113553,0.9998547214540134
7,6.048519947129542,1.313035048186707,16.455137981476337,0.9997051100656396
8,4.040259869881276,1.0096850739426568,10.008238770326578,0.9992797298113208
9,2.8627240797143085,0.7891060137666206,7.173950028101245,0.9980240104156876
10,2.667417042760862,0.7793973132019123,6.099671742554947,0.9983785505595361
11,1.9946623035493232,0.6183157128542737,4.567026657935398,0.9957187967055681
12,1.5580069907396323,0.5105402837550631,3.405083793919808,0.9887109532356746
13,1.3063694215978385,0.43376561327347857,2.9354368244227547,0.9754677802790253
14,1.1048424013698779,0.3471286369884497,2.4849907238420315,0.948463358124574
15,0.9896324282951783,0.2996531537708433,2.320055184044006,0.9091389186653304
16,0.8965790806325856,0.2811280952163852,2.015250215107948,0.8601872794376465
17,0.8226928757359698,0.27237688104904123,1.8378856762620162,0.7959268350302122
18,0.7717488309028199,0.2478552759262362,1.7618406810507272,0.7187282275967268
19,0.7320252384390028,0.2328323734287967,1.7297262960769542,0.6380205751474961
20,0.9055220534439237,0.2719086083884564,2.157854714669506,0.8161955819297575
21,0.8635652410715217,0.26148264688690465,2.0331316643598947,0.7716783525943598
22,0.8335559244304032,0.23246114584017397,2.1108723867438703,0.7256085122637592
23,1.0604125066725898,0.3227823128323124,2.5447235350213813,0.878458949259953
24,1.0192048777981875,0.29709596218187895,2.470365386595078,0.858658850517197
25,1.2909196517648114,0.4084447764253289,3.1329087302496372,0.9412872002060741
26,1.24560945801191,0.34816507257744744,3.16841154602977,0.9308358863805273
27,1.5611153992958404,0.47403981274358764,3.739290965146664,0.9742020610017031
28,1.4841856409064782,0.42687771299595473,3.6341046976016402,0.9697393885447982
29,1.7853405722654783,0.5399096851424259,4.212601589490786,0.9885663894472082
30,2.085974279827086,0.6410825775952186,4.903010363996344,0.9957672318782852
31,1.8487452316003434,0.5433750924198252,4.469801052744672,0.9928306565962897
32,2.0493953720154168,0.6606594943782945,4.726429539908946,0.9970663829885064
33,2.167269699810852,0.7207209877487679,4.882098272546819,0.998572819076602
34,1.8668646128659432,0.5823138539602876,4.264742141538577,0.9969021155919571
35,1.9332172737773359,0.6499006265228104,4.339677633251852,0.9983581323532191
36,1.6526292361348107,0.5687447821067856,3.638130819880959,0.9969433302150397
37,1.4199973034739763,0.46192964373620043,3.2407567964985455,0.9928141103493344
38,2.1108541545592368,0.7782987438497522,4.5140604720179605,0.9996038928441653
39,2.3728317587306376,0.9389047930359296,4.861463913158799,0.9999386598266252
40,2.2614470437109118,0.860815808188339,4.647911318782104,0.9999048956542773
41,2.1182546648812544,0.8739358087841985,4.292624978996185,0.9998926895556153
42,2.052145607588156,0.8005217104438985,4.042620207445727,0.9999340540297851
43,1.9586778309415775,0.7775705162436669,3.9644960163271277,0.9999333489063468
44,2.403550919713453,1.0134065940183141,4.7492416449608825,0.9999959508162493
45,1.921460635965405,0.7867389316696121,3.8716689556065496,0.9999718806023603
46,1.7997632916646888,0.7261138692562812,3.574972624196732,0.9999723499715556
47,1.6662958068786036,0.7008811487507717,3.2410906267094113,0.9999471669647719
48,2.1896476669495177,0.9414481261284599,4.367602386712707,0.999998517879875
49,2.337021862019839,1.0429482735412858,4.384393953849484,0.9999996251525464
50,2.427931669277106,1.1506846224454585,4.427730013231602,0.9999999342470545
51,2.226323360244269,1.0306313983919217,4.09976309722307,0.9999995081804426
52,2.4807508455020946,1.1386240965715109,4.590931498903653,0.9999999954209705
53,2.6291560240110345,1.2832039927338001,4.694987008800232,0.9999999973147549
54,3.618595406483496,1.8035049865181338,6.384640885605308,0.9999999999999893
55,3.509402351626347,1.7675766911730668,6.148004973729137,0.999999999999992
56,3.97208348334355,2.0786026974347354,6.725033411456691,1.0
57,3.506446783263917,1.8269969993708455,6.0308596655610085,1.0
58,2.8788422221534806,1.5110839877058595,4.924706589327101,0.99999999999915
59,2.6422030090660678,1.4117369676712268,4.5056068206487545,0.9999999999999963
60,2.6305292200691754,1.389634385771859,4.4815028019968155,1.0
61,1.9099566678640447,0.9930958794488844,3.2445985592365885,0.9999999999997609
62,1.3730836060481817,0.6913497907091838,2.4185098679825585,0.999999999958227
63,1.654085282481631,0.8634112585673657,2.801354964482898,0.9999999999991388
64,1.2461890497204866,0.6193584132231282,2.153624842954391,0.9999999999900953
65,1.1478614022060383,0.5878577476884133,2.0067299007520485,0.9999999998641416
66,0.9280454762857285,0.48114018296005046,1.6238616673438488,0.99999999734792
67,1.2569199808879365,0.6594395472298911,2.1345629271614746,0.9999999999925108
68,1.4204933240500206,0.7566430510307001,2.348724500956686,0.9999999999966559
69,1.5141992224257235,0.8113990102405666,2.5206075582507466,0.9999999999999977
70,1.505673392521194,0.8057758562652872,2.545165628410819,0.9999999999999972
71,1.6689889826659645,0.9202353443111452,2.759503583304775,0.9999999999999994
72,2.040002709908705,1.1288772850125226,3.406585986467326,1.0
73,2.2776430137515353,1.2761417882456778,3.7163362570914065,1.0
74,1.9371299817699528,1.066002039500427,3.2844714760765776,1.0
75,2.13609223920162,1.2008749130848337,3.4759994377086043,1.0
76,1.4413529657360593,0.7728968221360519,2.4572161809319173,0.9999999999997788
77,1.973074407662425,1.11122600665356,3.2210454720525927,1.0
78,1.8926497105388738,1.1092554881723518,2.994196500113345,1.0
79,1.4061954557687302,0.7936147452821056,2.285047203158478,1.0
80,1.0870664699371562,0.5953575769124444,1.8108548097535397,0.9999999999999994
81,0.8018139978329506,0.4283121835048426,1.3695510362919108,0.9999999999997454
82,0.7103566903100625,0.3777213677326209,1.2206301125980819,0.9999999999781058
83,0.7682697148643781,0.3983820357275167,1.2850307508608192,0.9999999999992218
84,1.0846627110727198,0.6122316549926211,1.7819117113597571,0.9999999999993193
85,0.9451076808313084,0.5084478397113916,1.583142982661323,0.9999999999999956
86,0.9453695340958029,0.5073071712760917,1.5788992690683148,0.9999999999999487
87,0.7827366119891832,0.42562062296129266,1.3259127634548233,0.9999999999996135
88,0.7367401300549037,0.40680503185401723,1.2406943629352827,0.9999999999628896
89,0.6433424247437634,0.34024649237777294,1.0834621153525477,0.9999999988170992
90,0.5453393185542125,0.27937558124034384,0.9694611619061699,0.9999999742200227
91,0.4882265276615243,0.24464070034818414,0.8648375424258298,0.9999999403544113
92,0.37556407449126133,0.1835664610014204,0.6840599849044057,0.9999967475082521
93,0.33981141469030074,0.15596571066522008,0.6389560461004617,0.9999861912768359
94,0.3381320023649985,0.1605806832086779,0.6158272405624003,0.9999734884893176
95,0.37677958634356634,0.17480347843942987,0.697897370890093,0.9999751024827346
96,0.34531552907446533,0.15882824140625948,0.645359287372042,0.9999007392322026
97,0.3919358409488343,0.17778713362056697,0.7470669579901433,0.9999154613175641
98,0.3982538664611271,0.18699452369346642,0.737112792368878,0.9998852854829802
99,0.336614663749135,0.14853353823426763,0.6543806885985081,0.9993944893612817
100,0.29227510149738,0.12724105924679113,0.5607403681761288,0.9975979124778619
101,0.30245121607579334,0.12711182219327627,0.5878358210109156,0.9966222786034918
102,0.35715070801474547,0.14750796006312178,0.7145502580127445,0.9975493406156489
103,0.36223524573177657,0.15007403774248912,0.7127029570805878,0.9968118906615536
104,0.3263357126678589,0.1339996658049248,0.6464489036282123,0.9921069844339303
105,0.3486346174463822,0.14136075943813128,0.6993586190540605,0.9917189347505896
106,0.31920928008878335,0.12530327469256675,0.66245507247567,0.9820332532701495
107,0.3552182898013025,0.13966589179246383,0.7327643353516625,0.983746630709063
108,0.32847056448802125,0.12391618953567991,0.6867510828840094,0.9687104199652118
109,0.30990970671291695,0.11218431429399912,0.6615247640633595,0.9464434009578284
110,0.29508480710056306,0.10375428466827542,0.6567829251943518,0.9148798266373496
111,0.34392849070605824,0.11910607715948802,0.7635772187780233,0.9342184023569392
112,0.3954427804557889,0.1395559537498128,0.8424887761068798,0.9482946235367129
113,0.37557110180840647,0.127844831995919,0.8135680592859341,0.9235127491793312
114,0.36013005666696285,0.11771530726463446,0.8142904667309647,0.8879284252050554
115,0.3480718505009093,0.11270005827810553,0.7890745568163535,0.8500565380429247
116,0.42437881724923876,0.1336692880983422,0.995794975704302,0.8981925127725828
117,0.41107321882432135,0.1310890588151012,0.9499552858839235,0.8632627301472138
118,0.3978505167572187,0.13016520149130834,0.9156764932894018,0.8280887313805116
119,0.3866269083580007,0.1167323868723574,0.9000575822529785,0.7846701832450407
120,0.38281873985388504,0.11660138034260527,0.9306745606562655,0.7368898291200285
121,0.3788405187274571,0.1040489238616575,0.9477601934077947,0.6870684760301966
122,0.3689118702155446,0.10638279951147092,0.9041504278641624,0.6329075670865107
123,0.3690559211963914,0.1048784241201265,0.9498809328350668,0.5736978495730014
124,0.36745317892984075,0.10332256323390517,0.9114610766770452,0.5140131429949697
125,0.36574122991470603,0.09665297748607223,0.910341886802524,0.4501294822938907
126,0.4898695087659032,0.129748205159954,1.2299088628051693,0.6729177789895888
127,0.4828423775457082,0.12113811205818613,1.2751523493508519,0.6276733967329995
128,0.48849845332582337,0.12726913182548105,1.3031192932211808,0.5894183255988921
129,0.4822824746648824,0.13172697428855745,1.223386383160326,0.5523151813510083
130,0.4835682319131285,0.12527904429430198,1.2711269339480733,0.5175261254914925
131,0.4892665211540957,0.12245948925570987,1.3060433678557202,0.4846818059443746
132,0.48536140086197554,0.11782934454517918,1.3102614000693842,0.4479606206702965
133,0.6867599664884118,0.16929427892717677,1.7875286246470397,0.7242795893689149
134,0.6818739981048421,0.15781434248316356,1.8649819369313105,0.7006283040338801
135,0.6794591326277387,0.15579077506026023,1.8076619416346371,0.676533710672662
136,0.6756331440815453,0.15903216123090527,1.8492334530142254,0.6496189019244533
137,0.6535387868514804,0.1600700676326438,1.7506679585524645,0.6178632382388152
138,0.6565566003239177,0.14547445506275147,1.8554680210284875,0.5869188041454365
139,0.6433532772658554,0.1536733799688247,1.730203119088724,0.5527710484174437
140,0.6325726837610768,0.14801164792191804,1.721775369579847,0.5138952288034035
141,0.6173827288450501,0.1473055827927734,1.7525808391594286,0.46631915060192086
142,0.6183880469787384,0.14212100388029394,1.7849489327372359,0.4217389225798812
143,0.6083097338190843,0.14471098329893867,1.6931259991880376,0.36737916378234714
144,0.5958816306450878,0.132037579140377,1.6244437504778013,0.3140817762215149
145,0.5960467881820168,0.13009367994338375,1.6183278150773919,0.2668102238405492
146,0.5994179420720238,0.13526196413964922,1.7456277387987729,0.21884526122751113
147,0.5935386681579802,0.13968780178979617,1.6697388812265361,0.17490584806130327
148,0.6030298644785208,0.1324957858335104,1.6685949081169908,0.13803164413022884
149,0.594813485277437,0.12359088234610402,1.692678645763554,0.1050682518432261
150,0.6064808978924895,0.12468750064464186,1.8281735153908898,0.07982344890793802
151,0.6061792714549716,0.1335509357824705,1.7264989958471335,0.058814197178552186
152,0.6148742890257658,0.13424925887355477,1.822578500495121,0.04265963330837308
153,0.6306295267532329,0.1283534252316857,1.9210942636897712,0.030958355510244617
154,0.6319649180563797,0.12898206029160625,1.9533638067994563,0.021578770025062255
155,0.6584829837364541,0.12982163631795396,2.064474881981372,0.015370504517404293
156,0.6499261593798218,0.12635028502954437,1.9214596667553436,0.010359895851202672
157,0.6844923035479377,0.13659750771677778,2.0897821215445442,0.007279046517337351
158,0.6902519062563564,0.13972874103341096,2.023730699982517,0.004875365870206427
159,0.6990833981210691,0.1296823032663725,2.196572994354252,0.0032659137397570426
160,0.7039818706201505,0.1400442350491941,2.1384545303248057,0.0021386487799596177
161,0.727662022103019,0.13467765291062944,2.31484340692021,0.0014251810670182774
162,0.7433583594560262,0.137614175903602,2.4038355977186847,0.000943054989232639
163,0.7395532292761676,0.13560271626956166,2.357085537972104,0.0005885521401858274
164,0.7552182339374859,0.13142697116026464,2.396861637215539,0.0003837511721892506
165,0.8013502395284098,0.13675162841131885,2.604885133475172,0.00025254866061807935
166,0.7805765733183104,0.13669399525818288,2.559442763596912,0.00014920924660988266
167,0.8029062167965332,0.13763543546408544,2.627121528559012,9.600597871461947e-05
168,0.8226283452176606,0.14768893138959344,2.6353128219064423,6.0272193405541685e-05
169,0.8401716474524116,0.14011653596841764,2.79863248712324,3.7781704572581454e-05
170,0.8193959387925712,0.14444252445187966,2.6491289627550856,2.2428221457149178e-05
171,0.8547346020977777,0.13311612031365821,2.9472642736999415,1.4193041075194479e-05
172,0.8861851450381211,0.13560933934420574,3.1269836767052825,8.848573898379009e-06
173,0.8812663023012204,0.14830013733748548,2.971834888598023,0.0
