stat,value
rhat_mean,1.000514054312021
rhat_median,1.0004598049569597
rhat_max,1.0016206219246584
ess_mean,7171.77272554579
ess_median,6645.354189059175
ess_min,3991.245594722807
n_diverging,0.0
incidence_rhat_max,1.0072274487482609
incidence_ess_min,506.5292401190633
incidence_ess_median,2506.342057243047
