day_of_outbreak,date,reported_incidence,incidence_mean,incidence_lower,incidence_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper,additional_case_prob
105,2017-10-09,0.0,0.36040625,0.0,2.0,0.2131534000620067,0.09246230240709667,0.40110236671023836,0.17403495025548443,0.09841899155262358,0.2549649765567731,1.2722520395204135,0.5355503318600161,2.5435556832394606,0.9868507347586187
106,2017-10-10,1.0,1.299375,1.0,3.0,0.2077345595792016,0.08712121284672841,0.3994485832873626,0.1602243770894409,0.08666466164124854,0.24028324420378844,1.3520408063289342,0.5510490600028439,2.779049350101896,0.9775414913569559
107,2017-10-11,0.0,0.2656875,0.0,2.0,0.19851525425605843,0.08005648121813363,0.3920198568016225,0.14758603546036156,0.07565645672447686,0.22695756829169933,1.4091959932779918,0.5587373011185632,2.958320569770607,0.9675088149883527
108,2017-10-12,0.0,0.2383125,0.0,2.0,0.1936200365753628,0.07465346324268625,0.3893278198168868,0.13674593876149924,0.06606203709046454,0.2154266868563105,1.4899132497885985,0.571313302988779,3.1848229897484117,0.9508434944955941
109,2017-10-13,0.0,0.21775,0.0,1.0,0.19192519304037442,0.07131461522441959,0.39251326594293495,0.1275442020957158,0.05848244583452582,0.20500980908010266,1.5901758311517071,0.5942410982842777,3.437543435137392,0.9289443750648448
110,2017-10-14,1.0,1.1956875,1.0,2.0,0.19339655969651026,0.06941134302817815,0.40321339279953844,0.11982068496113027,0.0533053347055631,0.19574684886832974,1.711623425560734,0.6180229562527499,3.7791128873616318,0.9007316657571387
111,2017-10-15,1.0,1.2021875,1.0,2.0,0.19072054717769854,0.06486908000345491,0.40705271538424953,0.1125891227585678,0.04767904022709166,0.1877450637171132,1.8013389276299903,0.6306442776573228,4.036518253649487,0.8799334725334217
112,2017-10-16,0.0,0.1675,0.0,1.0,0.1825456796113236,0.057712540912195937,0.4015247782116369,0.10553910982762499,0.04057044587172323,0.18058329589185984,1.8460184563349527,0.6289142538545532,4.190981863228327,0.8599566242527172
113,2017-10-17,0.0,0.1525,0.0,1.0,0.17715958176100938,0.05318983781557649,0.40105345667807796,0.09969832203132069,0.03545869454210279,0.17471940666031904,1.9032407350936633,0.630693897061922,4.363543276688852,0.82284860494544
114,2017-10-18,0.0,0.13275,0.0,1.0,0.17460874835679518,0.048658966929717724,0.40181657561238654,0.0950380109295066,0.031656417551017134,0.16958670306727178,1.9720134419371538,0.6367265142923186,4.600791534616902,0.7828611129418964
115,2017-10-19,1.0,1.12584375,1.0,2.0,0.17467138883106925,0.04638169950611142,0.410404181744236,0.09155107603955995,0.029738729628057067,0.1650726320143718,2.052883441755071,0.6444168712184881,4.900201637763483,0.7400355998736377
116,2017-10-20,0.0,0.1076875,0.0,1.0,0.1679647853062824,0.039894817126002804,0.4041667093153732,0.0872236324626444,0.024428868430905516,0.1611412541070632,2.0814475536127652,0.6385122321133645,5.097072720029505,0.7317299846493299
117,2017-10-21,0.0,0.09278125,0.0,1.0,0.1629704340804928,0.034494494416584004,0.403845666695468,0.08372020115841186,0.020140134422431694,0.15763842361130462,2.109589719336097,0.6245941083434966,5.17457395501839,0.6925769314879053
118,2017-10-22,0.0,0.07928125,0.0,1.0,0.15991841329455372,0.029519200265992983,0.40543659006978394,0.0809774781661847,0.017396659896675607,0.15480453181146928,2.1426592693234734,0.6229046487284174,5.3348197425456245,0.6538429769077999
119,2017-10-23,0.0,0.07409375,0.0,1.0,0.1589680327552569,0.027335846300823606,0.40796258317154166,0.07896584292524625,0.015767249156798637,0.15190452791663375,2.187614750152954,0.6192706564860664,5.47763630609904,0.6152499001359426
120,2017-10-24,0.0,0.0648125,0.0,1.0,0.15934149860378397,0.025888004074512843,0.4156200090038963,0.07755813430065966,0.014387027244226854,0.14990226693083303,2.2345568167632157,0.6178531664558279,5.657075601161873,0.5766798230096413
121,2017-10-25,0.0,0.0626875,0.0,1.0,0.16092375661672395,0.025327616919494176,0.42352203059551446,0.0765562235837044,0.014278423235122201,0.14887545299771374,2.2843650258804753,0.6223277408959945,5.874503867916012,0.5374864032891853
