date,temperature,temperature_smoothed,suitability_instantaneous,suitability_smoothed_instantaneous,suitability_smoothed_lagged
2017-03-29,12.3,12.130476040571777,0.0,0.0,0.0
2017-03-30,15.5,12.235545093145182,0.00010365068916633621,0.0,0.0
2017-03-31,15.4,12.342019755227117,7.467561631511106e-05,0.0,0.0
2017-04-01,14.9,12.44989676251148,1.0975525120602483e-05,0.0,0.0
2017-04-02,14.0,12.559172248903938,4.0931962422696536e-10,0.0,0.0
2017-04-03,13.9,12.669841714459189,1.4246272875247284e-16,0.0,0.0
2017-04-04,14.0,12.781899993765956,4.0931962422696536e-10,0.0,0.0
2017-04-05,14.1,12.895341224828337,8.32735997746608e-09,0.0,0.0
2017-04-06,13.8,13.01015881849155,0.0,0.0,0.0
2017-04-07,13.8,13.126345428458649,0.0,0.0,0.0
2017-04-08,14.8,13.243892921945875,6.76530415345585e-06,0.0,0.0
2017-04-09,15.8,13.362792351021877,0.00024669931295099494,0.0,0.0
2017-04-10,15.9,13.483033924676327,0.0003189709213922312,0.0,0.0
2017-04-11,15.1,13.604606981662366,2.5482906632434876e-05,0.0,0.0
2017-04-12,15.4,13.72749996415667,7.467561631511106e-05,0.0,0.0
2017-04-13,14.9,13.851700392279223,1.0975525120602483e-05,7.365378961671377e-17,0.0
2017-04-14,15.5,13.977194839515416,0.00010365068916633621,3.1597365951596416e-10,0.0
2017-04-15,15.3,14.103968909080562,5.345735728083778e-05,1.0009527117126296e-08,0.0
2017-04-16,17.1,14.232007211266687,0.003599444701023465,9.220983672825476e-08,0.0
2017-04-17,16.9,14.361293341810402,0.0025583520053418544,3.6116350033408994e-07,0.0
2017-04-18,13.9,14.49180986131855,1.4246272875247284e-16,1.0110904834203518e-06,0.0
2017-04-19,10.8,14.623538275788755,0.0,2.5971775038632897e-06,0.0
2017-04-20,9.3,14.756459018259095,0.0,5.547137268582653e-06,0.0
2017-04-21,9.7,14.890551431620729,0.0,1.0577719513603204e-05,7.365378961671377e-17
2017-04-22,10.7,15.025793752626107,0.0,1.922511855970336e-05,3.1597365951596416e-10
2017-04-23,13.1,15.162163097122741,0.0,3.291036661724821e-05,1.0009527117126296e-08
2017-04-24,13.9,15.299635446543238,1.4246272875247284e-16,5.339893355095873e-05,9.220983672825476e-08
2017-04-25,14.3,15.438185635678327,1.8036570024019095e-07,8.573993207160958e-05,3.6116350033408994e-07
2017-04-26,17.1,15.577787341760972,0.003599444701023465,0.000132240991040238,1.0110904834203518e-06
2017-04-27,17.8,15.718413074884381,0.010326523634360289,0.00019882383651952332,2.5971775038632897e-06
2017-04-28,13.0,15.86003416977941,0.0,0.00029008697306491727,5.547137268582653e-06
2017-04-29,13.2,16.002620778971885,0.0,0.0004102804291834529,1.0577719513603204e-05
2017-04-30,14.4,16.146141867340383,4.7533705398552926e-07,0.0005789389642907323,1.922511855970336e-05
2017-05-01,14.8,16.29056520809326,6.76530415345585e-06,0.0007926970930050608,3.291036661724821e-05
2017-05-02,15.3,16.435857380180853,5.345735728083778e-05,0.0010755863034723262,5.339893355095873e-05
2017-05-03,15.7,16.58198376715919,0.00018801898351876488,0.0014330325375178836,8.573993207160958e-05
2017-05-04,16.4,16.728908557517666,0.0009951589989783535,0.0018905518314060242,0.000132240991040238
2017-05-05,17.3,16.876594746482635,0.004966678768571237,0.002462181116155892,0.00019882383651952332
2017-05-06,18.3,17.02500413930707,0.01966082077896242,0.003184682762380137,0.00029008697306491727
2017-05-07,17.1,17.17409735605359,0.003599444701023465,0.004068256819552493,0.0004102804291834529
2017-05-08,15.2,17.32383383787818,3.743124950561524e-05,0.005162903139013207,0.0005789389642907323
2017-05-09,16.2,17.474171854818326,0.0006511914441971444,0.006498905704596293,0.0007926970930050608
2017-05-10,17.6,17.625068515088604,0.007808470358991218,0.008101270551611207,0.0010755863034723262
2017-05-11,20.4,17.776479775884397,0.14561779263250568,0.010008988018627554,0.0014330325375178836
2017-05-12,20.6,17.928360455693205,0.16866396152889906,0.012284425250492524,0.0018905518314060242
2017-05-13,19.5,18.080664248109798,0.06890163826170323,0.014979167563922771,0.002462181116155892
2017-05-14,18.9,18.233343737151877,0.038426305669238256,0.018154470267546335,0.003184682762380137
2017-05-15,19.8,18.386350414068804,0.08972536661089674,0.021772614686391356,0.004068256819552493
2017-05-16,20.9,18.539634695635563,0.20778926008846754,0.02596642298954076,0.005162903139013207
2017-05-17,21.9,18.693145943922,0.3773448645561533,0.030800915537027913,0.006498905704596293
2017-05-18,22.2,18.84683248752477,0.43865437745393165,0.036381833219990486,0.008101270551611207
2017-05-19,21.1,19.00064164424935,0.2367347202497239,0.042569790442417925,0.010008988018627554
2017-05-20,17.1,19.154519745225798,0.003599444701023465,0.04961961330591582,0.012284425250492524
2017-05-21,18.7,19.308412160441478,0.031025181332480178,0.0575743884693695,0.014979167563922771
2017-05-22,20.2,19.462263325671568,0.12474230854845793,0.06660246330028236,0.018154470267546335
2017-05-23,20.2,19.616016770786754,0.12474230854845793,0.0764638161886608,0.021772614686391356
2017-05-24,20.5,19.769615149415653,0.15690627902029403,0.08745134731343479,0.02596642298954076
2017-05-25,19.8,19.923000269937763,0.08972536661089674,0.09963100512776851,0.030800915537027913
