calc_time,date,additional_case_prob,reproduction_number_mean
97,2017-10-01,0.9971680915323137,0.23912183175585533
98,2017-10-02,0.9880343736094932,0.19341675142967218
99,2017-10-03,0.9666535647383174,0.16190499479322104
100,2017-10-04,0.9154684344884424,0.13369188153513725
101,2017-10-05,0.8386058452196128,0.111056712723388
102,2017-10-06,0.7232428654421342,0.09296868931685467
103,2017-10-07,0.6467754938954139,0.08588001604972169
104,2017-10-08,0.7418791403457295,0.10351894869242623
105,2017-10-09,0.622743794393748,0.08492432903184852
106,2017-10-10,0.4940403475901131,0.06914740149792924
107,2017-10-11,0.4529051192835632,0.06692134677212225
108,2017-10-12,0.35389661677215123,0.05554271792760745
109,2017-10-13,0.269157337730448,0.04518084464030641
110,2017-10-14,0.45820468387473623,0.08042889646143114
111,2017-10-15,0.34669578577144566,0.061273106435996434
112,2017-10-16,0.28946587153178166,0.05406189955364424
113,2017-10-17,0.2203550371251023,0.04493227119209002
114,2017-10-18,0.37802270190199616,0.0835320860976091
115,2017-10-19,0.3006843544580776,0.07223599097061151
116,2017-10-20,0.25461673610557406,0.06686420115543668
117,2017-10-21,0.21086752416753593,0.05856129102552372
118,2017-10-22,0.16617447475640063,0.051171229772426045
119,2017-10-23,0.14891670335422125,0.049052462915142855
120,2017-10-24,0.11548901074720239,0.04557172198138853
121,2017-10-25,0.08727036157878333,0.04000097750729492
122,2017-10-26,0.07465345460561998,0.03961059799746883
123,2017-10-27,0.06598478976498419,0.0393516266702936
124,2017-10-28,0.062128634894144906,0.04064371145519019
125,2017-10-29,0.052260591795811946,0.04013681890265165
126,2017-10-30,0.04173234035990227,0.039730228263138205
127,2017-10-31,0.03452972559917437,0.038146430961780164
128,2017-11-01,0.025176430018932737,0.035996591907989865
129,2017-11-02,0.019626403048933587,0.0350267421651976
130,2017-11-03,0.01688830799820866,0.03691292303785117
131,2017-11-04,0.016473966064672975,0.03915601105960305
132,2017-11-05,0.009377988449069853,0.03371312604598611
133,2017-11-06,0.007897104084270783,0.03362379794978052
134,2017-11-07,0.005824221724536089,0.03376172988039867
135,2017-11-08,0.005188776769613149,0.033661005757985724
136,2017-11-09,0.004349851530455887,0.03376671391472983
137,2017-11-10,0.0030014165799400433,0.03065374693641449
138,2017-11-11,0.005731019824753867,0.04004600068272736
139,2017-11-12,0.002714229714154528,0.03686781510085899
140,2017-11-13,0.0023920140070927856,0.03594259890987963
141,2017-11-14,0.00257308628293477,0.03817713709051952
142,2017-11-15,0.0016472003403105204,0.03676925734268592
143,2017-11-16,0.0016572246736296652,0.035459513737413975
144,2017-11-17,0.0022216645885740276,0.03745812985443588
145,2017-11-18,0.0013044691156988456,0.036479737590458944
146,2017-11-19,0.0010890700237017408,0.03664488184842884
147,2017-11-20,0.0010162126660354085,0.03553602077154333
148,2017-11-21,0.0004980312604461031,0.036835388142377495
149,2017-11-22,0.00037874803943987946,0.03424288256553441
150,2017-11-23,0.00026785576521624866,0.033720363510736276
151,2017-11-24,0.000252466486218891,0.033392418321522725
152,2017-11-25,0.00010190998950483266,0.033941177260313836
153,2017-11-26,8.019388918492073e-05,0.033835274618693026
154,2017-11-27,6.342023764974778e-05,0.032990593517251476
155,2017-11-28,0.010364459355809439,0.07832716575749797
156,2017-11-29,0.009252180756840823,0.07721139311276251
157,2017-11-30,0.0064241049974099445,0.07382744410061765
158,2017-12-01,0.005156898536046981,0.07029987073317844
159,2017-12-02,0.0033493804416895546,0.06840432291424475
160,2017-12-03,0.004201486845318261,0.06893032662108835
161,2017-12-04,0.003457672515625541,0.0671539634865766
162,2017-12-05,0.003122685386888753,0.06690691358035251
163,2017-12-06,0.0025023954571875393,0.06115434282741422
164,2017-12-07,0.0011627455634500192,0.06099763008340047
165,2017-12-08,0.002539802937218795,0.07040846251191056
166,2017-12-09,0.001180102344973901,0.07011718276527922
167,2017-12-10,0.0012653851582110581,0.06815412072644812
168,2017-12-11,0.0007149153148866544,0.06453802308312304
169,2017-12-12,0.0008438424554675892,0.06667157348874461
170,2017-12-13,0.0010763164356284729,0.061948857883850836
171,2017-12-14,0.0008717370172812054,0.06576971999247463
172,2017-12-15,0.0004022263005491358,0.05917617774350341
173,2017-12-16,0.0012872836589724577,0.061547871413673724
174,2017-12-17,0.00018737087913825462,0.05581204527905266
175,2017-12-18,0.00011303165134724424,0.058272486304702206
176,2017-12-19,0.0010454097405200118,0.05779037592534478
177,2017-12-20,0.0010805355302901162,0.057634774478752364
178,2017-12-21,0.0007298320317284835,0.05436721561034023
179,2017-12-22,6.04218457428322e-05,0.05381835734522042
180,2017-12-23,8.346122721873677e-05,0.054203126632917625
181,2017-12-24,4.610158031968471e-05,0.05250247469977286
182,2017-12-25,0.000326594182636794,0.05494328892114699
183,2017-12-26,0.00011629428037769664,0.05313046801887822
184,2017-12-27,7.282678805812098e-07,0.05155076357547445
185,2017-12-28,6.464014612312698e-05,0.049923336907617785
186,2017-12-29,0.00010241816985566432,0.04847640596122408
187,2017-12-30,6.846936641427548e-08,0.04894390088075033
188,2017-12-31,1.0189977180738442e-07,0.04676826385138459
189,2018-01-01,2.4788772799321373e-06,0.046482232227534434
