onset_day,date,reported,cases_mean,cases_lower,cases_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper,additional_case_prob
0,2017-06-26,2,2.0,2.0,2.0,2.7855926057768006,0.7444719330992721,7.244058804547565,0.7164029248433905,0.6199154238907751,0.8160388382714718,3.8955827063939754,1.049853375584799,10.110327133026994,1.0
1,2017-06-27,2,2.0,2.0,2.0,2.9656267008913826,0.8372583337679347,7.63070365527372,0.7448850805016374,0.649986581938624,0.8460125611664719,3.988552217566141,1.1288559702807488,10.318012535491546,0.9361427327954818
2,2017-06-28,2,2.0005,2.0,2.0,2.9246183758660513,0.8657454971399875,7.313259069739162,0.771628344780478,0.6748639832628404,0.8716130089297369,3.7971453971612172,1.1282544982208358,9.464961613428585,0.9931654759641722
3,2017-06-29,0,0.003625,0.0,0.0,2.6945063191389846,0.8273344389274322,6.468294769864513,0.7973885237051278,0.6995990905940177,0.8985695976061985,3.385386257252315,1.04674622182595,8.125999527542984,0.9990119215029133
4,2017-06-30,0,0.01325,0.0,0.0,2.476533113333902,0.8064764212120491,5.776510638885195,0.8213281094938266,0.7236306648118502,0.9220503163232372,3.0215443058418314,0.9914374039039231,7.052305543962219,0.9990083203655953
5,2017-07-01,0,0.020375,0.0,0.0,2.276971405264667,0.7717893231029298,5.127239252845519,0.844224081364186,0.7462935235008329,0.944217930294869,2.7028778284953514,0.9126527032597714,6.125512099377526,0.9989934470916245
6,2017-07-02,0,0.060375,0.0,1.0,2.089918132623791,0.753456347739218,4.502766964059039,0.8661435245805092,0.7663981172395455,0.9658274190886211,2.418186389201114,0.8683898962733962,5.161899368649681,0.9989350260153509
7,2017-07-03,0,0.113,0.0,1.0,1.9391314788980047,0.72316880445982,4.043045182527901,0.8868999405643436,0.7884713117128673,0.9858240690955379,2.191041812361121,0.8229348933383825,4.597118404768436,0.9988239864554876
8,2017-07-04,0,0.183875,0.0,1.0,1.805220112113432,0.7158546362257356,3.6793790666305752,0.9053279206301836,0.8066340497895986,0.9999821323722854,1.9980219556307988,0.7784047277744681,4.094143941315274,0.9986022796128526
9,2017-07-05,1,1.259375,1.0,3.0,1.7009873879970183,0.6903238838096748,3.3912289703394825,0.9216189135063041,0.8245952897562947,0.9999999999995969,1.849154803313374,0.7546078521342362,3.70409338905174,0.9982680121665015
10,2017-07-06,0,0.321375,0.0,2.0,1.5653613861338844,0.666522519452007,3.0223648258764277,0.9361550319585143,0.8405660751850336,1.0,1.675124374687989,0.7155901910322715,3.2370621360164296,0.9993016456286692
11,2017-07-07,0,0.33075,0.0,2.0,1.468319834239789,0.6505745930880338,2.777045890001691,0.9483121408325397,0.8547639755517734,1.0,1.5506921013314094,0.6838750636119536,2.950433061552057,0.9990934550905328
12,2017-07-08,0,0.374625,0.0,2.0,1.4057058671483655,0.6223212937493123,2.6469675950286975,0.958240623034821,0.8676728181121184,1.0,1.4688870430479182,0.6467830847950465,2.749273158923438,0.9987383017079934
13,2017-07-09,0,0.388625,0.0,2.0,1.3601746983527057,0.613936957755889,2.5324475274826725,0.9663646033866645,0.8785635402152667,1.0,1.4091222423323102,0.6263268093217446,2.6137755267962755,0.9983478749034014
14,2017-07-10,0,0.35125,0.0,2.0,1.3285405305370463,0.6012595187646933,2.445773495952499,0.9724129947234287,0.8883516794006752,1.0,1.3677763994296226,0.6224316997083081,2.516648071474583,0.9980592363792371
15,2017-07-11,0,0.318875,0.0,2.0,1.321999909765649,0.5996618802004812,2.420663867634745,0.9768608833138831,0.8945275446681394,1.0,1.3546907063851883,0.6131019434139379,2.4976967182144416,0.9975972496469585
16,2017-07-12,0,0.30775,0.0,2.0,1.3270637037137138,0.6075485903998268,2.4460626873999542,0.9799876653958272,0.9015665556810635,1.0,1.3553011703796103,0.6172801850237005,2.503594913453129,0.9970890109065649
17,2017-07-13,0,0.26325,0.0,2.0,1.353427432673262,0.6217252687678197,2.539997425948492,0.9822852892446288,0.906329578431369,1.0,1.378830986407178,0.6303597260355676,2.5735571264446206,0.9965110577199007
18,2017-07-14,0,0.277,0.0,2.0,1.3920652838576184,0.6440799122537737,2.5911075853677366,0.9837656612424803,0.9103596482820225,1.0,1.4157976256962275,0.6542875089519093,2.6254285987331625,0.9957059041514977
19,2017-07-15,1,1.25,1.0,3.0,1.4563254818204334,0.6776762783191742,2.732286765216872,0.9851095305958683,0.9138798265298277,1.0,1.4790115114981095,0.6831167771370776,2.7859570635730693,0.994982135178642
