delay,cdf_fitted,pmf_fitted,pmf_empirical
0,0.019345335462130516,0.019345335462130516,0.0
1,0.07173259894298058,0.05238726348085006,0.034482758620689655
2,0.12848501354640307,0.056752414603422494,0.05172413793103448
3,0.18554791529938053,0.057062901752977464,0.06896551724137931
4,0.24128193371959966,0.05573401842021912,0.09482758620689655
5,0.29487053571277805,0.053588601993178386,0.08620689655172414
6,0.3458903633372245,0.05101982762444645,0.0603448275862069
7,0.39413591551305477,0.04824555217583024,0.04310344827586207
8,0.43953234341454056,0.04539642790148579,0.06896551724137931
9,0.48208660320987096,0.04255425979533042,0.034482758620689655
10,0.521857874277328,0.03977127106745706,0.06896551724137931
11,0.5589386588227105,0.037080784545382536,0.06896551724137931
12,0.5934422461444733,0.03450358732176277,0.02586206896551724
13,0.6254941810290185,0.032051934884545275,0.04310344827586207
14,0.6552263586772817,0.02973217764826315,0.008620689655172414
15,0.6827728994089208,0.02754654073163906,0.02586206896551724
16,0.7082672603338549,0.02549436092493402,0.008620689655172414
17,0.7318402238115516,0.02357296347769662,0.008620689655172414
18,0.7536185167866526,0.021778292975101057,0.0
19,0.7737238890799681,0.020105372293315514,0.0
20,0.7922725280499996,0.01854863897003141,0.008620689655172414
21,0.8093747207776294,0.0171021927276298,0.017241379310344827
22,0.8251346985054601,0.015759977727830717,0.02586206896551724
23,0.8396506148561411,0.014515916350681054,0.0
24,0.8530146215109059,0.013364006654764771,0.008620689655172414
25,0.8653130139555257,0.012298392444619829,0.0
26,0.8766264265351442,0.011313412579618466,0.0
27,0.8870300610421619,0.010403634507017654,0.017241379310344827
28,0.8965939368372544,0.009563875795092497,0.008620689655172414
29,0.905383153386386,0.008789216549131559,0.0
30,0.9134581583113022,0.008075004924916203,0.008620689655172414
31,0.9208750157606365,0.007416857449334315,0.0
32,0.9276856712335612,0.006810655472924746,0.008620689655172414
33,0.9339382100170618,0.006252538783500672,0.0
34,0.9396771071984831,0.005738897181421306,0.008620689655172414
35,0.9449434678377824,0.005266360639299314,0.0
36,0.9497752563677933,0.004831788530010859,0.0
37,0.9542075146656296,0.0044322582978363265,0.0
38,0.9582725685273941,0.004065053861764484,0.0
39,0.9620002224996281,0.0037276539722340906,0.017241379310344827
40,0.9654179431887009,0.0034177206890727463,0.008620689655172414
41,0.9685510312947258,0.003133088106024848,0.008620689655172414
42,0.9714227827084856,0.0028717514137597887,0.0
43,0.9740546390752602,0.0026318563667746715,0.0
44,0.9764663282739827,0.002411689198722516,0.0
45,0.9786759952882734,0.0022096670142907424,0.0
46,0.9807003239611868,0.002024328672913377,0.0
47,0.9825546501308199,0.001854326169633101,0.0
48,0.984253066641561,0.0016984165107410802,0.0
49,0.9858085207175579,0.0015554540759969398,0.0
50,0.9872329041724052,0.001424383454847314,0.0
51,0.988537136913291,0.0013042327408858154,0.017241379310344827
52,0.9897312441798308,0.0011941072665397397,0.0
53,0.9908244279383008,0.0010931837584699736,0.0
54,0.9918251328315583,0.0010007048932574006,0.0
55,0.9927411070640689,0.0009159742325106684,0.0
56,0.9935794585805071,0.0008383515164381297,0.0
57,0.9943467068756489,0.0007672482951417004,0.0
58,0.9950488307529382,0.0007021238772893052,0.0
59,0.9956913123293475,0.0006424815764093873,0.0
60,0.9962791775650829,0.0005878652357353876,0.0
61,0.9968170335783866,0.0005378560133036834,0.008620689655172414
62,0.9973091029882217,0.0004920694098351536,0.0
63,0.9977592555110099,0.0004501525227881546,0.0
64,0.9981710370218568,0.0004117815108470143,0.0
65,0.9985476962758328,0.00037665925397600125,0.008620689655172414
66,0.9988922094708718,0.0003445131950389301,0.0
67,0.9992073028206947,0.00031509334982292173,0.0
68,0.9994954732938196,0.0002881704731249492,0.0
69,0.99975900766317,0.0002635343693504113,0.008620689655172414
70,1.0000000000000002,0.0002409923368300857,0.008620689655172414
