calc_time,date,additional_case_prob,reproduction_number_mean
97,2017-10-01,0.9999990951594848,0.5044584941992191
98,2017-10-02,0.9999790315790842,0.4308097701421698
99,2017-10-03,0.9999451451952366,0.3937245673929336
100,2017-10-04,0.9995590339878996,0.371986853128174
101,2017-10-05,0.9985523108273826,0.3404841327154449
102,2017-10-06,0.9957926732920552,0.3226837531210007
103,2017-10-07,0.9923171483505326,0.3086526728889178
104,2017-10-08,0.9983290217127581,0.37236234663715506
105,2017-10-09,0.9963267594750175,0.3653810014607584
106,2017-10-10,0.9923374152189347,0.34815077156959723
107,2017-10-11,0.9898792906981785,0.3694531163849248
108,2017-10-12,0.9814863568999285,0.3458342894091312
109,2017-10-13,0.972778109715938,0.3486405647429023
110,2017-10-14,0.9911842047497343,0.46127658668942045
111,2017-10-15,0.9847506319537477,0.4537540209274753
112,2017-10-16,0.9758531024734363,0.4375139827824596
113,2017-10-17,0.9622338028892918,0.4184892662390302
114,2017-10-18,0.9769205546919748,0.5322196441470403
115,2017-10-19,0.9652799618558651,0.49561673653420507
116,2017-10-20,0.9475172435711796,0.4843350435852862
117,2017-10-21,0.92921674318578,0.47203840416700193
118,2017-10-22,0.90987078275809,0.4605948341102797
119,2017-10-23,0.8865611045738006,0.45968260958303964
120,2017-10-24,0.8394434739277253,0.44348971668597353
121,2017-10-25,0.7901947161633719,0.43509566255611093
122,2017-10-26,0.7381739953137776,0.4089853957489988
123,2017-10-27,0.7012151392930542,0.4221244600277343
124,2017-10-28,0.7198888538020322,0.4469060624644948
125,2017-10-29,0.6712936343728129,0.4461087264335273
126,2017-10-30,0.6185237610395252,0.4304021944641824
127,2017-10-31,0.5853309672497021,0.43753755669590666
128,2017-11-01,0.5388616111765878,0.43845484721762334
129,2017-11-02,0.47809967577646334,0.4358761611874116
130,2017-11-03,0.4462848476390174,0.43515469760539693
131,2017-11-04,0.4221031045699056,0.44668292612744287
132,2017-11-05,0.37280716132288355,0.438039703426111
133,2017-11-06,0.35610169758576715,0.47803554015718197
134,2017-11-07,0.30823150889932216,0.45185689251775774
135,2017-11-08,0.25983497309811043,0.4531702687927097
136,2017-11-09,0.2473032168557646,0.46716232694998205
137,2017-11-10,0.23000908769822692,0.48651266825286643
138,2017-11-11,0.2520415796843659,0.4926287593373025
139,2017-11-12,0.2179078758788417,0.48427501418925
140,2017-11-13,0.21659454728529914,0.4942933147041656
141,2017-11-14,0.17642235465112827,0.5009290256809119
142,2017-11-15,0.17755996770486815,0.5268273505562587
143,2017-11-16,0.14135029317610062,0.5278428553820755
144,2017-11-17,0.11456476958031407,0.5149787885705566
145,2017-11-18,0.13192699030723867,0.5561186340236853
146,2017-11-19,0.09704664664280108,0.5426247516542804
147,2017-11-20,0.10629527146695573,0.5749098713562181
148,2017-11-21,0.09398737911092116,0.572406977916423
149,2017-11-22,0.07539021599694672,0.5886284939532239
150,2017-11-23,0.046877804579399426,0.5817041958924775
151,2017-11-24,0.06513901662085235,0.6161974159118345
152,2017-11-25,0.06057567590816903,0.618912854653188
153,2017-11-26,0.08428019361388163,0.6669447563628197
154,2017-11-27,0.04342105601673914,0.6435257899106706
155,2017-11-28,0.29859861895839274,0.7906387302885004
156,2017-11-29,0.2173932734996713,0.7249643936557189
157,2017-11-30,0.22769822617600888,0.739235898008753
158,2017-12-01,0.19655421080259108,0.7429946700950474
159,2017-12-02,0.16474018195750179,0.7328540976216233
160,2017-12-03,0.1420668164635281,0.7404512343383636
161,2017-12-04,0.12799010226740803,0.7502669385121193
162,2017-12-05,0.1284108206768542,0.7523950069175699
163,2017-12-06,0.09171503079660656,0.7377524319952268
164,2017-12-07,0.1231489456866021,0.7780466282377183
165,2017-12-08,0.12692824265226252,0.7927072858703303
166,2017-12-09,0.1023632433340934,0.7673649713259548
167,2017-12-10,0.08501515008922994,0.7683586860275141
168,2017-12-11,0.09787190622684598,0.7955423642443031
169,2017-12-12,0.062409832375727274,0.7816223588516453
170,2017-12-13,0.06670072881150484,0.8268771834527953
171,2017-12-14,0.059204648899737505,0.7904911128582703
172,2017-12-15,0.06431726958863987,0.8388756526195157
173,2017-12-16,0.05886350692958584,0.8241753125080022
174,2017-12-17,0.043864528725835274,0.862063121037019
175,2017-12-18,0.04393244653752183,0.8532155778086942
176,2017-12-19,0.026342297077441162,0.8963444237673367
177,2017-12-20,0.032384863730669074,0.8628251523417403
178,2017-12-21,0.02759904206763892,0.87076411369928
179,2017-12-22,0.01959010910049977,0.9045423563681143
180,2017-12-23,0.021916308567483337,0.9128720462504142
181,2017-12-24,0.014066329016363486,0.8811891009566444
182,2017-12-25,0.011696043514996413,0.9124502023960017
183,2017-12-26,0.0173350213610075,0.9542222501086348
184,2017-12-27,0.008965369220522183,0.9677197260299922
185,2017-12-28,0.0018864278047694956,0.9622363771117943
186,2017-12-29,0.006522584309037533,0.9531702903464715
187,2017-12-30,0.004931582174672843,0.9631065948005153
188,2017-12-31,0.00792654968651967,0.9357671406556087
189,2018-01-01,0.007303885292705761,1.030415182925077
