date,temperature,temperature_smoothed,suitability,suitability_smoothed
2021-06-01,19.2,20.985674790159063,0.03397713656531212,0.1855195765336732
2021-06-02,20.3,21.135168752171484,0.10653184950508288,0.20879624825211254
2021-06-03,22.1,21.283893431876052,0.3851451246746443,0.23244331687341763
2021-06-04,23.1,21.431784162039957,0.6167200502741652,0.2559577883894276
2021-06-05,21.8,21.578775850427505,0.32456401525508316,0.2819710071229574
2021-06-06,20.8,21.724803024307256,0.162383716630606,0.3100860958987123
2021-06-07,20.2,21.869799875835255,0.0972965469239806,0.3380028133466003
2021-06-08,19.2,22.01370030827372,0.03397713656531212,0.36609493708248086
2021-06-09,20.0,22.156437982996145,0.0788259417617764,0.3976035024729098
2021-06-10,21.4,22.297946367236186,0.25090413984688187,0.42884070867506996
2021-06-11,21.7,22.438158782529065,0.30531068861129895,0.4597918367805046
2021-06-12,22.7,22.577008453800964,0.5211236230827321,0.49180202406109524
2021-06-13,24.2,22.714428559053804,0.8614826495484013,0.5245634401767544
2021-06-14,24.1,22.850352279597594,0.843080203300846,0.5569681131358565
2021-06-15,23.1,22.98471285077777,0.6167200502741652,0.5890001260197962
2021-06-16,22.9,23.117443613147977,0.5688042969628475,0.6209196727697319
2021-06-17,23.8,23.248478064033012,0.7800153405356548,0.6524667624100973
2021-06-18,24.2,23.37774990943237,0.8614826495484013,0.6835894974408033
2021-06-19,24.8,23.505193116207437,0.9535768284411773,0.7141814013546066
2021-06-20,25.5,23.630741964501844,1.0,0.7422179761337778
2021-06-21,27.1,23.754331100337016,0.7694151988136391,0.769816923442403
2021-06-22,27.1,23.875895588331513,0.7694151988136391,0.7969637424252198
2021-06-23,26.6,23.995370964486252,0.8853376966307746,0.8236440374923404
2021-06-24,25.3,24.11269328898208,0.9912672220831666,0.8454160789828198
2021-06-25,25.2,24.22779919893286,0.9869008331247499,0.8665983821892721
2021-06-26,24.9,24.340625961040235,0.9658724418245467,0.8873612664389392
