day_of_outbreak,true,reported,cases_mean,cases_lower,cases_upper,rep_no_true,rep_no_mean,rep_no_lower,rep_no_upper,rep_no_naive_mean,additional_case_prob_true,additional_case_prob_est_r,additional_case_prob_est_r_lower,additional_case_prob_est_r_upper,additional_case_prob_known_r,additional_case_prob_known_r_lower,additional_case_prob_known_r_upper,additional_case_prob_naive
10,0,0,0.166,0.0,1.0,2.3,3.5119423503155165,1.2686701552765207,7.501749079456136,2.2897694150551113,0.9996473083727774,0.9979227994831603,0.9836738721365244,0.9999997203007844,0.9982624168781048,0.9970262162589708,0.9999564160722832,0.9787590210202236
11,0,0,0.1675,0.0,1.0,2.28,3.3980759974086157,1.2646258421049552,7.109015712066072,2.226846562478919,0.9995429569096181,0.9976977253941854,0.9815071710832072,0.9999997773939255,0.9980534355658007,0.996288346968905,0.9999450852948394,0.975190866668702
12,0,0,0.159125,0.0,1.0,2.26,3.3381567916754453,1.2755081201174119,6.8779740558936435,2.203554645018784,0.999376365883547,0.997404163526526,0.9790225014388133,0.9999997796182016,0.9977739519886,0.99528977761809,0.9999896787126803,0.9707032117266361
13,0,0,0.195,0.0,1.0,2.24,3.305133326395766,1.3254542325785628,6.650564674033631,2.184366416927065,0.9990968833603142,0.9969795975712762,0.9752561171454647,0.9999997699086711,0.9973799800152914,0.9939174523044058,0.999986631611727,0.9649281892046901
14,1,1,1.26525,1.0,3.0,2.2199999999999998,3.3027910843431716,1.3732372408539066,6.501722115898756,2.1851992843423136,0.998600604179714,0.9963987290583791,0.9702757181606608,0.9999997465520515,0.9968189607139839,0.9919351323565664,0.9999817965995484,0.9570935518172908
15,1,1,1.30875,1.0,3.0,2.2,3.2400340693301106,1.3674875129738269,6.270536163094739,2.138860959025397,0.9996754759802143,0.9989335504790083,0.9909395722670027,0.9999999634193381,0.9994581631150701,0.9984514243869969,0.9999991186342334,0.981326196503386
16,2,2,2.396875,2.0,4.0,2.18,3.1082006726437172,1.3374982447132773,6.034219920821986,2.057348212076737,0.999917930419724,0.9996485848896713,0.9967591817345924,0.9999999953630623,0.9999026198892029,0.9996820650666959,0.9999998308389404,0.9912721846297465
17,0,0,0.476625,0.0,2.0,2.16,2.827650405986975,1.2430558680950183,5.432045552408934,1.8758266861054733,0.9999967674703215,0.9999638192627608,0.9996794008665901,0.9999999999150707,0.99999730899371,0.9999898855770678,0.9999999959772088,0.998295578538161
18,2,1,1.46925,1.0,3.0,2.14,2.607436375245686,1.171295458653923,4.899343413699388,1.7321817885483024,0.9999937619494214,0.9999568115619956,0.9996300561729529,0.9999999999318391,0.9999966679169207,0.9999841095520487,0.9999999973424655,0.9977587670185519
19,0,0,0.479875,0.0,2.0,2.12,2.3520963809676494,1.053723319240178,4.379765986586976,1.5701923331809566,0.9999997226308899,0.9999834765348078,0.9998701445563736,0.9999999999917146,0.9999993714480825,0.9999961206693031,0.9999999997014695,0.9988635099925346
20,0,0,0.574625,0.0,3.0,2.1,2.1479174853111576,0.9781897652060306,4.010131576413973,1.4393975653525575,0.9999994550216128,0.9999819360685996,0.9998483078433812,0.9999999999899357,0.9999992309417377,0.9999935320997129,0.9999999998128202,0.9985318529697388
21,0,0,0.5775,0.0,3.0,2.08,1.9718931969271982,0.9030894019897161,3.6830547141866,1.3433917014956427,0.9999989067868532,0.9999791762269213,0.9998230368885054,0.9999999999923312,0.9999990603180895,0.9999887033492466,0.9999999999067006,0.9980973286910269
22,1,0,0.605125,0.0,3.0,2.06,1.8353513139867017,0.8583470437166032,3.3952990584977654,1.2646400851358282,0.999997694799293,0.9999768172012943,0.9998001341829271,0.9999999999950582,0.999998869000081,0.9999863399706469,0.9999999999424856,0.9974893314945118
23,0,0,0.639125,0.0,3.0,2.04,1.7285394088480854,0.8115360920290983,3.2119367761447437,1.2124619455734662,0.9999991356944123,0.9999734041418267,0.9997710335046897,0.9999999999951124,0.9999986450578779,0.9999926721492202,0.999999999947265,0.9965777518615098
