method,prob,prob_lower,prob_upper
true,0.9702502163152459,,
naive_true_r,0.13709417981870564,,
naive_est_r,0.15152857542500553,0.04453083932770674,0.3535368326218631
imperfect_true_r,0.8360725878850024,0.5333390396574343,0.9761046789522494
imperfect_est_r,0.9434642652496728,0.4921168141431188,1.0
